mouth0x,mouth0y,mouth1x,mouth1y,mouth2x,mouth2y,mouth3x,mouth3y,mouth4x,mouth4y,mouth5x,mouth5y,mouth6x,mouth6y,mouth7x,mouth7y,mouth8x,mouth8y,mouth9x,mouth9y,mouth10x,mouth10y,mouth11x,mouth11y,mouth12x,mouth12y,mouth13x,mouth13y,mouth14x,mouth14y,mouth15x,mouth15y,mouth16x,mouth16y,mouth17x,mouth17y,mouth18x,mouth18y,mouth19x,mouth19y,happiness
408,744,448,728,488,720,512,728,544,720,576,728,608,752,576,768,544,776,512,776,488,776,448,768,424,752,488,744,512,752,544,744,600,752,544,744,512,752,488,744,0
400,736,440,720,472,712,504,720,528,712,568,720,616,736,576,776,536,792,504,792,472,792,440,776,416,744,472,744,504,752,536,744,592,744,536,744,504,752,472,744,0
408,760,424,736,448,728,472,736,496,728,544,744,600,760,552,792,504,808,472,808,448,800,432,784,424,760,448,760,472,768,496,768,584,760,496,760,472,760,448,760,0
400,728,440,712,480,704,512,712,536,704,576,712,616,728,576,760,536,784,512,784,480,784,440,760,416,728,480,728,512,736,536,736,600,728,536,744,512,752,480,744,1
408,752,432,736,464,720,488,728,512,720,560,736,608,760,560,784,520,800,488,800,464,792,432,776,424,760,464,752,488,752,512,752,584,760,520,752,488,760,464,752,0
400,736,440,712,480,696,512,704,536,696,576,712,616,736,576,776,536,792,512,800,480,792,440,776,416,736,480,720,504,728,536,720,600,744,536,760,512,760,480,752,1
408,744,440,728,472,720,504,728,528,720,568,728,608,752,568,784,536,808,504,808,472,808,440,784,424,752,472,752,504,752,528,752,592,752,536,760,504,768,472,760,0
384,736,424,704,472,696,512,704,544,696,584,712,624,736,592,792,544,816,512,824,472,816,424,792,400,736,472,720,512,728,544,728,608,736,544,776,512,776,472,776,1
400,736,432,728,464,720,488,728,520,720,576,728,632,744,576,808,528,832,488,832,456,824,432,800,424,744,464,744,488,752,520,752,608,752,520,776,488,776,464,776,1
384,736,432,712,472,696,504,704,536,696,584,712,624,736,584,768,544,784,504,792,472,784,432,768,408,736,472,728,504,728,536,728,608,736,544,744,504,752,472,744,0
400,744,440,728,480,720,504,720,536,720,568,728,608,744,576,776,536,784,512,792,480,784,440,768,424,744,480,744,504,744,536,744,592,744,536,752,512,752,480,744,0
384,720,424,696,464,688,496,696,536,696,584,696,640,720,592,784,536,816,496,816,464,816,416,784,408,720,464,720,496,720,536,720,624,720,536,768,504,776,464,768,1
408,752,440,728,472,720,504,728,536,720,568,728,600,752,568,768,536,784,504,784,472,784,440,768,424,752,472,744,504,744,536,744,584,752,536,744,504,752,472,744,0
392,736,432,712,472,704,504,712,536,712,576,712,616,736,576,768,536,792,504,792,472,784,432,768,416,736,472,736,504,744,536,736,600,736,536,744,504,752,472,744,1
384,760,408,728,440,712,464,720,496,712,552,728,616,752,560,792,504,808,472,808,440,808,408,792,400,760,440,744,464,744,496,744,600,752,504,768,472,768,440,768,1
400,760,432,744,464,736,488,744,520,744,560,744,608,768,560,784,520,792,480,792,456,784,432,776,416,752,456,760,488,760,520,760,600,760,520,760,488,768,456,760,0
408,752,440,736,472,728,504,736,536,728,576,736,616,752,584,792,544,816,512,816,472,816,440,792,424,760,472,752,504,760,536,752,600,752,536,768,512,776,480,768,1
408,760,432,744,456,736,480,744,512,736,560,752,608,768,560,792,512,808,480,808,456,808,432,792,424,760,456,760,480,768,512,768,584,768,512,768,480,768,456,768,0
416,720,456,712,496,696,520,704,544,696,568,712,608,728,568,744,544,752,520,752,496,752,456,744,432,728,496,720,520,728,544,728,592,728,544,728,520,728,496,720,0
392,728,440,712,480,712,512,720,544,712,584,712,624,728,584,768,544,784,512,784,480,784,440,760,416,736,480,736,512,744,544,736,608,736,544,736,512,744,480,736,1
392,720,424,704,464,696,496,704,528,696,576,704,624,720,584,776,536,792,496,800,464,792,424,768,408,728,464,720,496,720,528,720,608,728,536,752,496,760,464,752,1
384,720,432,704,472,696,512,704,544,696,584,696,632,712,592,776,552,792,512,800,472,792,424,768,400,720,472,720,512,720,544,720,616,720,544,760,512,760,472,760,1
400,720,448,704,488,696,512,696,536,696,576,704,616,720,576,752,536,768,512,776,480,776,440,760,416,720,488,712,512,720,536,712,600,720,536,736,512,744,480,744,1
424,736,456,712,488,696,512,704,536,704,568,720,600,744,568,768,536,784,512,784,480,784,456,768,440,736,488,728,512,736,536,736,584,736,536,736,512,744,488,736,0
416,728,448,704,488,696,512,704,536,696,568,712,608,736,568,760,536,776,512,776,480,768,448,760,432,728,488,728,512,728,536,736,584,736,536,728,512,736,488,728,0
384,728,432,712,480,704,512,704,544,704,576,712,624,728,584,776,544,800,512,800,472,800,432,776,408,728,480,728,512,728,544,728,608,736,544,760,512,760,472,760,1
384,728,424,704,472,696,504,696,536,696,584,704,632,728,584,776,544,800,504,808,464,800,424,776,400,728,472,720,504,720,536,720,616,728,536,760,504,768,472,760,1
400,736,440,712,480,704,504,712,536,704,568,712,600,736,568,768,536,784,504,792,480,784,440,768,416,736,480,736,504,736,536,736,584,736,536,744,504,744,480,744,0
400,720,440,704,480,696,512,696,544,696,584,704,616,720,584,760,544,776,512,784,480,776,440,760,424,728,480,720,512,720,544,720,600,728,544,744,512,752,480,744,1
400,736,432,696,464,680,496,680,520,680,568,688,608,728,568,760,520,776,496,776,464,776,432,760,416,736,472,720,496,720,520,720,584,728,520,728,496,728,464,728,0
400,736,440,712,480,696,512,704,536,704,576,712,616,736,576,768,536,784,512,792,480,784,440,768,424,736,480,728,512,736,536,728,592,736,536,744,512,744,480,744,1
392,728,440,712,480,696,504,704,536,696,576,704,616,728,576,768,536,784,504,784,472,784,432,768,416,736,472,736,504,736,536,736,600,736,536,736,504,736,472,736,1
408,744,440,720,472,712,496,720,528,712,568,720,608,744,568,776,528,792,504,792,472,792,440,776,424,744,472,744,504,744,528,744,592,744,528,744,504,752,472,744,0
400,736,440,720,480,712,512,720,544,712,584,720,624,736,584,784,544,808,512,816,480,816,440,792,416,744,480,744,512,744,544,744,608,744,544,768,512,776,480,768,1
392,704,432,696,472,688,504,696,536,688,584,696,632,712,584,752,536,768,504,768,472,760,432,744,408,712,472,704,504,712,536,712,616,712,536,736,504,736,472,736,1
392,744,424,720,456,704,480,712,512,704,560,712,616,736,560,768,512,784,480,784,456,784,424,768,416,744,456,744,480,744,512,744,592,736,512,736,480,744,456,736,1
408,752,448,720,488,704,520,712,544,704,576,728,600,752,576,784,544,800,520,808,488,800,448,784,432,752,488,744,520,752,544,744,584,752,544,752,520,752,488,752,0
384,752,408,712,448,704,472,704,504,696,560,712,624,744,568,808,512,832,480,840,448,832,416,808,408,760,448,744,472,744,504,744,600,744,504,776,480,784,448,776,1
424,752,448,728,480,712,504,720,528,712,560,728,600,752,560,784,528,792,504,792,480,792,448,776,440,752,480,744,504,752,528,744,584,752,528,752,504,752,480,744,0
384,712,424,688,472,680,512,688,544,680,592,688,632,712,592,768,552,792,512,800,472,792,424,768,400,712,472,712,512,712,552,712,616,712,552,744,512,752,472,752,1
392,752,416,720,448,696,480,704,512,696,560,712,608,744,568,784,520,800,488,808,456,808,424,792,408,752,448,736,480,736,512,736,592,744,512,752,480,760,456,752,0
392,720,432,696,472,688,512,688,544,688,592,696,632,712,592,776,552,800,512,808,472,800,432,776,408,720,472,720,512,720,552,720,616,720,552,752,512,760,472,752,1
424,760,456,736,488,720,512,728,528,720,568,736,608,760,568,792,536,800,512,800,480,800,456,784,440,760,488,752,512,760,528,752,592,760,536,760,512,760,488,752,0
416,744,448,720,480,704,504,720,528,712,568,720,608,744,568,784,536,800,504,800,480,800,440,776,432,744,480,744,504,744,528,744,592,744,528,752,504,752,480,744,0
392,752,424,728,464,720,496,728,520,720,568,728,624,752,576,792,528,808,496,808,464,808,424,784,408,752,464,752,496,752,528,752,600,752,528,760,496,760,464,760,0
384,720,424,712,472,712,504,720,536,712,584,712,632,720,592,776,544,800,504,800,472,800,424,776,400,728,472,728,504,736,536,728,616,728,544,760,504,768,472,760,1
400,760,448,752,488,736,520,744,544,736,576,744,608,760,576,792,544,808,520,808,488,808,448,792,416,768,488,768,520,768,544,768,592,760,544,768,520,768,488,768,1
400,736,432,704,472,696,504,704,536,696,576,704,616,736,576,768,536,784,504,784,472,784,432,768,416,736,472,728,504,728,536,728,600,736,536,736,504,736,472,736,0
400,736,440,712,480,696,512,704,544,696,584,712,616,744,584,784,544,800,512,800,480,800,440,776,408,744,480,728,512,736,544,736,600,744,544,760,512,760,480,760,1
416,736,440,712,464,696,488,704,504,696,552,712,592,744,552,776,512,792,488,792,464,784,440,768,432,736,464,736,488,736,512,736,568,744,512,744,488,744,464,744,0
